,tweet_created,tweet_id,tweet,tweet_source
0,Sat Apr 15 17:16:55 +0000 2023,1647287903267979265,"Well for this end match, see you next season #TeddyOut",Twitter for iPhone
1,Wed Mar 01 14:32:44 +0000 2023,1630939130182918145,"A take-anywhere door lock, silicone spikes that keep your shower clean, and a chunk of etched glass that smooths your feet.",Other
2,Sat Apr 15 17:24:27 +0000 2023,1647289797223018497,"My home is hell!!!!!!!! 

#TeddyOut https://t.co/WT5KcYdt7v",Twitter for Android
3,Sat Apr 15 06:30:03 +0000 2023,1647125114197270534,"once again, say it louder! #TeddyOut Fuck Management! Against Modern Football!",Twitter for iPhone
4,Mon Apr 17 07:59:42 +0000 2023,1647872448329822209,"Our Tribune Our Rules ! 

if you don't like it, get out of the stands!
No one likes us we dont care!

- WEST SIDE🤙

#TeddyOut 
#TeddyOut 
#buzzerGOBLOG https://t.co/INObKWtVcC",Twitter for Android
5,Sat Apr 15 17:57:14 +0000 2023,1647298045766426624,"I'M BOBOTOH NOT CUSTOMER
#TeddyOut https://t.co/2B3u8Ih5eJ",Twitter for Android
6,Sat Apr 15 17:14:33 +0000 2023,1647287304455847937,"I love Persib, and i want #TeddyOut https://t.co/nonEuovAbG",Twitter for iPhone
7,Sat Apr 15 16:18:45 +0000 2023,1647273263851270144,"GELORA BANDUNG LAUTAN API
BUKAN BUDAK TEDY
TEDDY OUT https://t.co/I5OfsD1qMd",Twitter for Android
8,Sat Apr 15 04:49:44 +0000 2023,1647099867553210368,Dibanned akses untuk membeli tiket dikarenakan menjual flare? Fuck You Teddy Cahyono!,Twitter for Android
9,Sat Apr 15 17:23:00 +0000 2023,1647289432322760704,"love persib hate management ⁦⁦@teddy_tjahjono⁩👎 
#TeddyOut https://t.co/uXvMMtzu8O",Twitter for iPhone
10,Sat Apr 15 07:54:42 +0000 2023,1647146416186474496,teddy out https://t.co/4szpVyOGTE,Twitter for Android
11,Sun Apr 16 06:13:46 +0000 2023,1647483400452988928,the #TeddyOut one!?%¥£%'*'&amp;*$ 😭😭😭 https://t.co/tXgzitMybF,Twitter for Android
12,Sat Apr 15 16:58:46 +0000 2023,1647283333049749504,"Farewell, bli made🔥 

#TeddyOut #TeddyOut #TeddyOut  #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut #TeddyOut  #TeddyOut #TeddyOut  #TeddyOut #TeddyOut  #TeddyOut #TeddyOut  #TeddyOut #TeddyOut",Twitter for Android
13,Sun Apr 16 04:43:22 +0000 2023,1647460650539704320,"Ughtea w*t mantap
1. https://t.co/pKeB6Tfc5q
2. https://t.co/mMgZPgGhmy

#TeddyOut #BebasSeenaknya https://t.co/ft4x7K3VQC",Twitter for Android
14,Sat Apr 15 06:45:49 +0000 2023,1647129078007488513,"PYRO IS NOT A CRIME

#TEDDYOUT",Twitter for Android
15,Sat Apr 15 18:28:46 +0000 2023,1647305983381884929,see u next season !! 🙌#TeddyOut Manajemen goblogg https://t.co/l4a4cU1iZf,Twitter for iPhone
16,Sat Apr 15 17:18:04 +0000 2023,1647288189428850688,"Last Match 🔥

#TeddyOut https://t.co/3TzVdsPLxW",Twitter for iPhone
17,Sun Apr 16 01:25:28 +0000 2023,1647410847646638080,"Bertindak seenak Baginda, maka kita juga bisa berbuat seenak kita!! @persib #TeddyOut 

Sampai jumpa musim depan💥💥💥 https://t.co/4sT1hytlaG",Twitter for Android
18,Sat Apr 15 20:29:15 +0000 2023,1647336304630448128,"Semoga taun depan lebih baik lagi
#lovepersibhatemanagement 
#TeddyOut https://t.co/HSAXATGqEF",Twitter for Android
19,Sun Apr 16 14:16:37 +0000 2023,1647604915689381889,"You greedy bastard, get out of our club! #TeddyOut",Twitter for Android
20,Sat Apr 15 17:22:53 +0000 2023,1647289405030420480,love tuhan persib dan mantan but i hate you teddy  #TeddyOut https://t.co/1W6Or5hDir,Twitter for Android
21,Sat Apr 15 18:54:12 +0000 2023,1647312385395531776,"Bebasken lah goblog well 
#teddyout
@teddy_tjahjono https://t.co/iDuU1A1Kok",Twitter for Android
